census_key,FIPS,Tract,Block,Tract_block
33.849000000000004_-84.36399999999999,131210096023002.00,'009602','3002','009602':'3002'
33.821999999999996_-84.36399999999999,131210094022017.00,'009402','2017','009402':'2017'
33.759_-84.36399999999999,131210030001001.00,'003000','1001','003000':'1001'
33.852_-84.36399999999999,131210100023027.00,'010002','3027','010002':'3027'
33.825_-84.36399999999999,131210094022007.00,'009402','2007','009402':'2007'
33.848_-84.36399999999999,131210096023002.00,'009602','3002','009602':'3002'
33.721_-84.36399999999999,131210069003006.00,'006900','3006','006900':'3006'
33.82_-84.36399999999999,131210094021010.00,'009402','1010','009402':'1010'
33.684_-84.36399999999999,131210070022010.00,'007002','2010','007002':'2010'
33.755_-84.36399999999999,131210030001009.00,'003000','1009','003000':'1009'
33.809_-84.36399999999999,131210092003033.00,'009200','3033','009200':'3033'
33.760999999999996_-84.36399999999999,131210029001000.00,'002900','1000','002900':'1000'
33.821_-84.36399999999999,131210094022017.00,'009402','2017','009402':'2017'
33.685_-84.36399999999999,131210070022010.00,'007002','2010','007002':'2010'
33.82_-84.365,131210094021010.00,'009402','1010','009402':'1010'
33.759_-84.365,131210029001021.00,'002900','1021','002900':'1021'
33.773_-84.365,131210013001017.00,'001300','1017','001300':'1017'
33.848_-84.365,131210096023002.00,'009602','3002','009602':'3002'
33.823_-84.365,131210094022017.00,'009402','2017','009402':'2017'
33.757_-84.365,131210030001010.00,'003000','1010','003000':'1010'
33.746_-84.365,131210050001005.00,'005000','1005','005000':'1005'
33.75_-84.365,131210032001020.00,'003200','1020','003200':'1020'
33.751_-84.365,131210032001013.00,'003200','1013','003200':'1013'
33.853_-84.365,131210100023025.00,'010002','3025','010002':'3025'
33.827_-84.365,131210094033016.00,'009403','3016','009403':'3016'
33.825_-84.365,131210094022007.00,'009402','2007','009402':'2007'
33.753_-84.365,131210032001003.00,'003200','1003','003200':'1003'
33.758_-84.365,131210029001021.00,'002900','1021','002900':'1021'
33.808_-84.365,131210001003010.00,'000100','3010','000100':'3010'
33.809_-84.365,131210092003033.00,'009200','3033','009200':'3033'
33.821999999999996_-84.365,131210094022017.00,'009402','2017','009402':'2017'
33.774_-84.365,131210013001007.00,'001300','1007','001300':'1007'
33.764_-84.365,131210017001022.00,'001700','1022','001700':'1022'
33.815_-84.365,131210092001008.00,'009200','1008','009200':'1008'
33.765_-84.365,131210017001005.00,'001700','1005','001700':'1005'
33.648_-84.365,131210072001023.00,'007200','1023','007200':'1023'
33.815_-84.366,131210092001009.00,'009200','1009','009200':'1009'
33.824_-84.366,131210094022007.00,'009402','2007','009402':'2007'
33.688_-84.366,131210070021007.00,'007002','1007','007002':'1007'
33.74_-84.366,131210050001043.00,'005000','1043','005000':'1043'
33.655_-84.366,131210072001011.00,'007200','1011','007200':'1011'
33.76_-84.366,131210029001001.00,'002900','1001','002900':'1001'
33.849000000000004_-84.366,131210100023027.00,'010002','3027','010002':'3027'
33.848_-84.366,131210096023002.00,'009602','3002','009602':'3002'
